artist_display_name,artist_begin_date,artist_end_date,artist_display_bio,artist_alpha_sort,artist_nationality,artist_ulan_url,artist_wikidata_url,artist_id
William Buttre,1802      ,1815      ,active ca. 1805–15,"Buttre, William",American,,,WB003
Samuel Gragg,1772      ,1855      ,1772–1855,"Gragg, Samuel",American,http://vocab.getty.edu/page/ulan/500062493,https://www.wikidata.org/wiki/Q55218824,SG004
Thomas Howard Jr.,1787      ,1833      ,active ca. 1790–1833,"Howard, Jr. Thomas",American,,,TJ001
Henry Ingle,1763      ,1822      ,"American, 1763–1822","Ingle, Henry",American,,,HI001
Samuel Dunlap,1786      ,1815      ,active ca. 1789–1815,"Dunlap, Samuel",American,,,SD004
Lambert Hitchcock,1795      ,1852      ,1795–1852,"Hitchcock, Lambert",American,http://vocab.getty.edu/page/ulan/500079373,https://www.wikidata.org/wiki/Q6481256,LH001
Wallace Nutting,1861      ,1941      ,"American, Rockbottom, Massachusetts 1861–1941 Framingham, Massachusetts","Nutting, Wallace",American,http://vocab.getty.edu/page/ulan/500019003,https://www.wikidata.org/wiki/Q7962862,WN001
Slover and Taylor,1799      ,1804      ,active ca. 1802–4,Slover and Taylor ,American,,,ST001
Michael Smith,1736      ,1836      , ,"Smith, Michael",American,,,MS001
Thomas Sully,1783      ,1872      ,"American, Horncastle, Lincolnshire 1783–1872 Philadelphia, Pennsylvania","Sully, Thomas",American,http://vocab.getty.edu/page/ulan/500006873,https://www.wikidata.org/wiki/Q786545,TS004
Timothy Bridgen,1774      ,1819      ,1774–1819,"Bridgen, Timothy",American,,,TB003
Timothy Brigden,1774      ,1819      ,1774–1819,"Brigden, Timothy", ,,,TB004
Johann Christoph Heyne,1715      ,1781      ,1715–1781,"Heyne, Johann Christoph",American,http://vocab.getty.edu/page/ulan/500046132,,JH004
Israel Trask,1786      ,1867      ,1786–1867,"Trask, Israel",American,http://vocab.getty.edu/page/ulan/500050998,http://www.wikidata.org/entity/Q109249200,IT001
Henry Hopper,1842      ,1847      ,active 1842–47,"Hopper, Henry",American,,,HH003
George Duncan and Sons,1874      ,1891      ,1874–1891,Duncan and Sons George,American,,,GS002
"Clark, Coit and Cargill",          ,9999      , ,"Clark, Coit and Cargill ",American,,,CC003
William Crolius,          ,9999      , ,"Crolius, William",American,,,WC004
Charles Cartlidge and Company,1848      ,1856      ,1848–1856,Cartlidge and Company Charles,American,,,CC004
Nehemiah Randall,1770      ,1850      ,1770–1850,"Randall, Nehemiah",American,,,NR001
Gustav Stickley,1858      ,1942      ,"American, Osceola, Wisconsin 1858–1942 Syracuse, New York","Stickley, Gustav",American,http://vocab.getty.edu/page/ulan/500018304,https://www.wikidata.org/wiki/Q5621226,GS003
The Symonds Shop,          ,          , ,The Symonds Shop,American,,,TS005
Peter Blin,1672      ,1725      ,ca. 1675–1725,"Blin, Peter",American,,,PB001
Robert Crosman,1707      ,1799      ,1707–1799,"Crosman, Robert",American,,,RC005
Albert Coles,1810      ,1885      ,ca. 1815–1885,"Coles, Albert", ,,,AC003
Koenigliche Porzellan Manufaktur,1763      ,9999      ,"German, founded 1763",Koenigliche Porzellan Manufaktur,German,http://vocab.getty.edu/page/ulan/500524769,https://www.wikidata.org/wiki/Q516134,KM002
Frederick Marquand,1799      ,1882      ,1799–1882,"Marquand, Frederick",American,(not assigned),https://www.wikidata.org/wiki/Q55218122,FM001
Stephen Richard,1793      ,1843      ,ca. 1796–1843,"Richard, Stephen",American,,,SR001
W. N.,          ,9999      , ,W. N.,American,,,WN002
McKee and Brothers,1856      ,1889      ,1856–89,McKee and Brothers ,American,,,MB002
Joseph Richardson Sr.,1711      ,1784      ,1711–1784,"Richardson, Joseph Sr.",American,(not assigned),https://www.wikidata.org/wiki/Q68498026,JS008
Aaron Willard,1757      ,1844      ,1757–1844,"Willard, Aaron",American,http://vocab.getty.edu/page/ulan/500076346,https://www.wikidata.org/wiki/Q4662538,AW002
Jonathan Mulliken,          ,9999      , ,"Mulliken, Jonathan",American,,,JM006
Roswell Gleason,1799      ,1887      ,1799–1887,"Gleason, Roswell",American,http://vocab.getty.edu/page/ulan/500333691,,RG001
Andrew Ellicott Warner,1786      ,1870      ,1786–1870,"Warner, Andrew Ellicott",American,,,AW003
Caughley Factory,1772      ,1799      ,"British, ca. 1772–1799",Caughley Factory,British,http://vocab.getty.edu/page/ulan/500334643,,CF001
Benjamin Brewood II,1755      ,1855      ,active from 1755,"Brewood, Benjamin, II", ,,,BI001
Garrett Eoff,1779      ,1845      ,1779–1845,"Eoff, Garrett",American,,,GE002
Charles Faris,1764      ,1800      ,1764–1800,"Faris, Charles",American,http://vocab.getty.edu/page/ulan/500082878,,CF002
"Leonard, Reed & Barton",          ,9999      , ,"Leonard, Reed & Barton",American,,,LB001
Enoch Wood & Sons,1818      ,1846      ,"British, active Burslem, 1818–46","Wood & Sons, Enoch",British,http://vocab.getty.edu/page/ulan/500524525,,ES002
Joseph Richardson Jr.,1752      ,1831      ,1752–1831,"Richardson, Jr. Joseph",American,http://vocab.getty.edu/page/ulan/500087121,https://www.wikidata.org/wiki/Q68449847,JJ006
Tucker Factory,1826      ,1838      ,1826–1838,Tucker Factory,American,http://vocab.getty.edu/page/ulan/500124181,https://www.wikidata.org/wiki/Q67044542,TF002
H. M.,          ,9999      , ,"H., M.",American,,,HM001
I. P.,          ,9999      , ,I. P.,American,,,IP001
John Vernon,1755      ,1845      ,1755–1845,"Vernon, John",American,,,JV001
Christian Wiltberger,1766      ,1851      ,"American, Philadelphia, Pennsylvania 1766–1851 Philadelphia, Pennsylvania","Wiltberger, Christian",American,http://vocab.getty.edu/page/ulan/500330452,https://www.wikidata.org/wiki/Q72399788,CW002
Florence Koehler,1861      ,1944      ,1861–1944,"Koehler, Florence",American,http://vocab.getty.edu/page/ulan/500062679,https://www.wikidata.org/wiki/Q15995922,FK002
Hennessey Company,          ,9999      , ,Hennessey Company ,American,,,HC006
Joseph Stouvenal and Company,1851      ,1857      ,"New York, 1851–57",Joseph Stouvenal and Company,American,,,JC007
Long Island Flint Glass Works of Christian Dorflinger,1852      ,1863      ,1852–63,"Dorflinger Christian, Long Island Flint Glass Works of",American,,,LD002
William Gale and Son,1847      ,1866      ,active ca. 1850–58 and 1863–66,Gale and Son William,American,,,WS005
Bryce Brothers,          ,9999      , ,"Bryce, Brothers ",American,(not assigned),https://www.wikidata.org/wiki/Q48977226,BB006
Nicholas Roosevelt,1715      ,1769      ,1715–1769,"Roosevelt, Nicholas",American,(not assigned),https://www.wikidata.org/wiki/Q69055106,NR002
Libbey Glass Company,1888      ,2050      ,"American, Toledo, Ohio, 1888–present",Libbey Glass Company ,American,http://vocab.getty.edu/page/ulan/500333043,,LC002
Cooper and Fisher,1854      ,1862      ,active 1854–62,Cooper and Fisher ,American,,,CF003
David Haring,1801      ,1871      ,1801–1871,"Haring, David",American,,,DH001
Ebenezer Moulton,1768      ,1824      ,1768–1824,"Moulton, Ebenezer",American,http://vocab.getty.edu/page/ulan/500062364,https://www.wikidata.org/wiki/Q55217980,EM001
E. J. Neale and Company,          ,9999      , ,Neale and Company E. J., ,,,EC003
David Vinton,1774      ,1833      ,1774–1833,"Vinton, David",American,,,DV001
Elias Pelletreau,1726      ,1810      ,1726–1810,"Pelletreau, Elias",American,http://vocab.getty.edu/page/ulan/500110860,https://www.wikidata.org/wiki/Q98908500,EP002
Worcester Factory,          ,9999      , ,Worcester Factory, ,,,WF002
Willets Manufacturing Company,1879      ,1908      ,1879–1908,Willets Manufacturing Company ,American,,,WC005
Atterbury and Company,1864      ,1893      ,ca. 1867–1893,Atterbury and Company ,American,http://vocab.getty.edu/page/ulan/500124167,,AC004
Ralph Bagnall Beech,1845      ,1845      ,active 1845–57,"Beech, Ralph Bagnall",American,,,RB001
Tucker and Hemphill,1831      ,1837      ,1831–37,Tucker and Hemphill ,American,,,TH002
John T. Vansant Manufacturing Company,1881      ,1892      ,1881–92,Vansant Manufacturing Company John T.,American,,,JC008
Jacob Scholl,1781      ,1851      ,1781–1851,"Scholl, Jacob",American,,,JS009
M. Louise McLaughlin,1847      ,1939      ,"American, Cincinnati, Ohio 1847–1939 Cincinnati, Ohio","McLaughlin, M. Louise",American,http://vocab.getty.edu/page/ulan/500332774,https://www.wikidata.org/wiki/Q6780156,MM002
William Homes Sr.,1716      ,1785      ,1716/17–1785,"Homes William, Sr.",American,,,WS006
Wedgwood-Whieldon partnership,1754      ,1759      ,1754–59,"Wedgwood-Whieldon, partnership ", ,,,WP002
Timothy Sage,          ,9999      , ,"Sage, Timothy",American,,,TS006
INK or IVK,          ,          , ,INK or IVK,American,,,II001
Chelsea Keramic Art Works,1872      ,1889      ,1872–1889,Chelsea Keramic Art Works ,American,,,CW003
William W. Gilbert,1746      ,1832      ,1746–1832,"Gilbert, William W.",American,(not assigned),https://www.wikidata.org/wiki/Q67472572,WG003
C. Ihmsen Company,          ,9999      , ,Ihmsen Company C.,American,,,CC006
South Boston Flint Glass Works,          ,9999      , ,South Boston Flint Glass Works ,American,(not assigned),https://www.wikidata.org/wiki/Q97958815,SW005
Henry Will,1734      ,1802      ,1734–ca. 1802,"Will, Henry",American,,,HW002
William F. Ladd,1829      ,1890      ,active 1829–ca. 1889,"Ladd, William F.",American,,,WL001
Harvey Lewis,1780      ,1835      ,ca. 1783–1835,"Lewis, Harvey",American,,,HL002
Thomas Shields,1742      ,1742      ,1742–1819,"Shields, Thomas",American,,,TS007
Hugh Wishart,1793      ,1824      ,active ca. 1793–1824,"Wishart, Hugh",American,http://vocab.getty.edu/page/ulan/500091676,https://www.wikidata.org/wiki/Q72701764,HW003
Daniel Van Voorhis,1751      ,1824      ,1751–1824,"Van Voorhis, Daniel",American,(not assigned),https://www.wikidata.org/wiki/Q98108230,DV002
J. Dunn,          ,9999      , ,"Dunn, J.", ,,,JD005
Faience Manufacturing Company,1881      ,1892      ,"American, Greenpoint, New York, 1881–1892",Faience Manufacturing Company ,American,http://vocab.getty.edu/page/ulan/500524291,,FC003
Edward Lycett,1833      ,1910      ,1833–1910,"Lycett, Edward",American,,https://www.wikidata.org/wiki/Q60515711,EL002
Henry Joseph,          ,9999      , ,"Joseph, Henry", ,,,HJ001
Chelsea Factory,1742      ,1784      ,ca. 1745–1784,Chelsea Factory, ,http://vocab.getty.edu/page/ulan/500048092,https://www.wikidata.org/wiki/Q2072152,CF004
Thomas Arnold,1739      ,1828      ,baptized 1739–1828,"Arnold, Thomas",American,,,TA004
Samuel Casey,1718      ,1780      ,"American, Rhode Island ca. 1723–ca. 1775","Casey, Samuel",American,http://vocab.getty.edu/page/ulan/500336430,https://www.wikidata.org/wiki/Q26945291,SC003
Central Glass Company,          ,9999      , ,Central Glass Company ,American,,,CC007
John David Jr.,1772      ,1809      ,1772–1809,"David, John Jr.",American,,,JJ007
Elias Davis,1743      ,1783      ,ca. 1746–1783,"Davis, Elias",American,,,ED002
John W. Forbes,1781      ,1864      ,1781–1864,"Forbes, John W.",American,,,JF002
J. H.,          ,9999      , ,J. H.,American,,,JH005
Boston Silver Glass Company,1857      ,1871      ,1857–1871,Boston Silver Glass Company ,American,,,BC006
Peter Young,1749      ,1813      ,1749–1813,"Young, Peter",American,http://vocab.getty.edu/page/ulan/500001324,https://www.wikidata.org/wiki/Q1755473,PY001
John Crawford,1815      ,1841      ,active 1815–41,"Crawford, John",American,,,JC009
Garret Forbes,1785      ,1851      ,1785–1851,"Forbes, Garret",American,,,GF001
William G. Forbes,1751      ,1840      ,1751–1840,"Forbes, William G.",American,http://vocab.getty.edu/page/ulan/500076625,https://www.wikidata.org/wiki/Q67197014,WF003
George B. Foster,1810      ,1881      ,1810–1881,"Foster, George B.",American,,,GF002
William B. Heyer,1804      ,1822      ,active ca. 1807–22,"Heyer, William B.",American,,,WH004
John Letelier Sr.,1740      ,1798      ,ca. 1740–1798,"Letelier, John Sr.",American,,,JS010
Robert and William Wilson,1825      ,1846      ,active ca. 1825–ca.1846,"Wilson, Robert and William",American,,,RW003
American Art China Company,1891      ,1894      ,1891–1894,American Art China Company ,American,,,AC005
Joseph Dubois,1767      ,1798      ,1767–1798,"Dubois, Joseph",American,(not assigned),https://www.wikidata.org/wiki/Q104816883,JD006
Teunis Denise Dubois,1773      ,1843      ,1773–1843,"Dubois, Teunis Denise",American,,,TD003
Lewis and Smith,1802      ,1811      ,active ca. 1805–11,Lewis and Smith ,American,,,LS002
Richard Chaffers & Company,          ,9999      , ,Richard Chaffers & Company, ,,,RC006
Ralph Hall & Son,1836      ,1841      ,active 1836–1841,Hall & Son Ralph, ,,,RS003
William Cowell Sr.,1682      ,1736      ,1682/83–1736,"Cowell, William Sr.",American,http://vocab.getty.edu/page/ulan/500330251,https://www.wikidata.org/wiki/Q67145850,WS007
John Dixwell,1680      ,1725      ,1680/81–1725,"Dixwell, John",American,,,JD007
Paul Lambert,1691      ,1749      ,1691–1749,"Lambert, Paul",American,http://vocab.getty.edu/page/ulan/500103450,,PL002
Joseph Loring,1743      ,1815      ,1743–1815,"Loring, Joseph",American,,,JL004
Andrew Tyler,1692      ,1741      ,1692/93–1741,"Tyler, Andrew",American,,,AT002
Glasgow Pottery Company,1856      ,1906      ,1856–1906,Glasgow Pottery Company ,American,,,GC004
Rudolph T. Lux,1815      ,1868      ,"b. Germany, 1815–1868","Lux, Rudolph T.",American,,,RL001
Fort Pitt Glass Works,          ,9999      , ,Fort Pitt Glass Works ,American,,,FW002
Ralph Stevenson & Williams,1822      ,1827      ,active ca. 1825–27,"Stevenson, & Williams Ralph", ,,,RW004
George C. Flint and Company,1865      ,1920      ,active ca. 1868–1920,Flint and Company George C.,American,,,GC005
Keene Glass Works,1815      ,1815      ,1815–41,Keene Glass Works,American,http://vocab.getty.edu/page/ulan/500330082,,KW001
Jersey Glass Company of George Dummer,1824      ,1862      ,1824–1862,Jersey Glass Company ,American,(not assigned),https://www.wikidata.org/wiki/Q6184867,JD008
Louis Boudo,1786      ,1827      ,1786–1827,"Boudo, Louis",American,,,LB002
H. P. Sinclaire and Company,1904      ,1928      ,1904–28,Sinclaire H. P.,American,,,HC007
James Harvey Putnam,1803      ,1855      ,1803–1855,"Putnam, James Harvey",American,,,JP003
Nehemiah Adams,1769      ,1840      ,1769–1840,"Adams, Nehemiah",American,,,NA001
Nathaniel Gould,1734      ,1782      ,1734–1782,"Gould, Nathaniel",American,,,NG001
Robert Fisher,1824      ,1837      ,"American, active 1824–37","Fisher, Robert",American,,,RF002
Bow Porcelain Factory,1747      ,1776      ,"British, 1747–1776",Bow Porcelain Factory,British,http://vocab.getty.edu/page/ulan/500332807,https://www.wikidata.org/wiki/Q3816631,BF001
Martin Benedict,1823      ,1847      ,active ca. 1823–1847,"Benedict, Martin",American,,,MB003
George Coldwell,1761      ,1811      ,died 1811,"Coldwell, George",American,,,GC006
John Burt Lyng,1758      ,1785      ,active ca. 1761–85,"Lyng, John Burt",American,,,JL005
Maud Mason,          ,9999      , ,"Mason, Maud",American,,,MM003
Nathaniel Austin,1741      ,1816      ,1741–1816,"Austin, Nathaniel",American,http://vocab.getty.edu/page/ulan/500331262,,NA002
Thomas Badger,1764      ,1826      ,1764–1826,"Badger, Thomas",American,,,TB005
Frederick Bassett,1740      ,1800      ,1740–1800,"Bassett, Frederick",American,http://vocab.getty.edu/page/ulan/500333729,,FB001
Daniel Curtiss,1799      ,1872      ,1799–1872,"Curtiss, Daniel",American,http://vocab.getty.edu/page/ulan/500333754,,DC003
Joseph Danforth,1758      ,1788      ,1758–1788,"Danforth, Joseph",American,,,JD010
John Danforth,1741      ,1799      ,1741–1799,"Danforth, John",American,http://vocab.getty.edu/page/ulan/500332676,,JD011
"Thomas Danforth, III",1756      ,1840      ,1756–1840,"Danforth, III Thomas",American,,,TI002
Simon Edgell,1687      ,1742      ,1687–1742,"Edgell, Simon",American,,,SE002
Jacob Eggleston,1773      ,1813      ,1773–1813,"Eggleston, Jacob",American,,,JE001
Lewis Fourniquet,1791      ,1825      ,active ca. 1794–1825,"Fourniquet, Lewis",American,,,LF002
Job & John Jackson,1831      ,1835      ,active 1831–35,"Jackson, Job & John", ,,,JJ009
Samuel Kilbourn,1793      ,1839      ,before 1794–1839,"Kilbourn, Samuel",American,,,SK001
Samuel Minott,1732      ,1803      ,1732–1803,"Minott, Samuel",American,,https://www.wikidata.org/wiki/Q68034180,SM003
"William Ridgway, Son & Co.",1833      ,1848      ,active ca. 1836–48,"Ridgway, Son & Co. William", ,http://vocab.getty.edu/page/ulan/500333439,,WC006
Sowerby's Ellison Glass Works Limited,          ,9999      , ,Sowerby's Ellison Glass Works Limited , ,,,SL001
Joseph Stubbs,1819      ,1836      ,active ca. 1822–36,"Stubbs, Joseph", ,,,JS011
John Will,1696      ,1774      ,active 1752–74,"Will, John",American,,,JW004
William Will,1742      ,1798      ,1742–1798,"Will, William",American,http://vocab.getty.edu/page/ulan/500090700,https://www.wikidata.org/wiki/Q30589203,WW002
William Adams & Sons,1814      ,2063      ,"British, active ca. 1819–present","William, Adams & Sons",British,http://vocab.getty.edu/page/ulan/500524526,,WS009
