artist_display_name,artist_begin_date,artist_end_date,artist_display_bio,artist_alpha_sort,artist_nationality,artist_ulan_url,artist_wikidata_url,artist_id
Wheatley Pottery Company,1903      ,1903      ,1903–7,Wheatley Pottery Company, ,,,WC020
Thomas J. Wheatley,1853      ,1853      ,1853–1917,"Wheatley, Thomas J.",American,,,TW011
T. J. Wheatley & Company,1880      ,1880      ,1880–1882,T. J. Wheatley & Company, ,,,TC021
Artus Van Briggle,1869      ,1904      ,"American, Felicity, Ohio 1869–1904 Colorado Springs, Colorado","Van Briggle, Artus",American,http://vocab.getty.edu/page/ulan/500073826,https://www.wikidata.org/wiki/Q7913168,AB022
Avon Faience Company,1902      ,1902      ,1902–5,Avon Faience Company, ,,,AC023
University City Pottery,1909      ,1914      ,1909–14,University City Pottery, ,,,UP002
Arequipa Pottery,1911      ,1918      ,1911–18,Arequipa Pottery, ,,,AP012
Hampshire Pottery,1871      ,1923      ,1871–1923,Hampshire Pottery, ,,,HP005
William J. Walley,1852      ,1919      ,1852–1919,"Walley, William J.", ,,,WW013
Ouachita Pottery,1906      ,1908      ,1906–1908,Ouachita Pottery, ,,,OP003
Frederick E. Walrath,1870      ,1921      ,1870–1921,"Walrath, Frederick Emory", ,(not assigned),https://www.wikidata.org/wiki/Q113467457,FW009
